,Shop,Location,Rating,Reviews,City,Type,Price
0,Black Sugar - Boba Bar,320 O'Farrell St,4.7,304,San Francisco,Bubble Tea,Inexpensive
1,Boba Guys,429 Stockton St,4.4,1370,San Francisco,Bubble Tea,Inexpensive
2,Qualitea,4023 18th St,4.5,150,San Francisco,Bubble Tea,Inexpensive
3,Boba Guys Mission,3491 19th St,4.5,940,San Francisco,Bubble Tea,Inexpensive
4,Boba Guys Hayes Valley,8 Octavia St #308,4.5,766,San Francisco,Bubble Tea,Inexpensive
5,Sharetea,135 4th St,4.2,325,San Francisco,Bubble Tea,Inexpensive
6,LITTLE SWEET,3836 Geary Blvd,4.4,306,San Francisco,Bubble Tea,Inexpensive
7,BobaBunni,402 Balboa St,4.5,58,San Francisco,Bubble Tea,Inexpensive
8,Cool Tea Bar,103 Waverly Pl,4.3,203,San Francisco,Bubble Tea,Inexpensive
9,Boba Butt Tea House,714 Kearny St,4.3,73,San Francisco,Bubble Tea,Inexpensive
10,Yifang Taiwan Fruit Tea,870 Washington St,4.3,253,San Francisco,Bubble Tea,Inexpensive
11,Mr & Mrs Tea House,544 Clement St,4.2,102,San Francisco,Bubble Tea,Inexpensive
12,BB Tea,1314 Noriega St,4.2,89,San Francisco,Bubble Tea,Inexpensive
13,CoCo Fresh Tea & Juice,652 Market St,4.2,136,San Francisco,Bubble Tea,
14,Brew Cha,3420 18th St #001,4.4,163,San Francisco,Bubble Tea,Inexpensive
15,Teaspoon,2125 Polk St,4.5,360,San Francisco,Bubble Tea,Inexpensive
16,Boba Guys Potrero,1002 16th St,4.5,539,San Francisco,Bubble Tea,Inexpensive
17,Boba Guys Fillmore,1522 Fillmore St,4.5,600,San Francisco,Bubble Tea,Inexpensive
18,District Tea,2154 Mission St,4.3,87,San Francisco,Bubble Tea,Inexpensive
19,Foam Tea House,1745 Taraval St,4.6,87,San Francisco,Cafe,Inexpensive
20,Boba Guys NOPA,836 Divisadero St,4.6,179,San Francisco,Bubble Tea,Inexpensive
21,Urban Ritual Cafe,488 Fell St,4.5,281,San Francisco,Bubble Tea,Inexpensive
22,Plentea,341 Kearny St,4.5,829,San Francisco,Bubble Tea,Inexpensive
23,Gong Cha,272 O'Farrell St,4.1,128,San Francisco,Bubble Tea,Inexpensive
24,Purple Kow,3620 Balboa St,4.2,719,San Francisco,Bubble Tea,Inexpensive
25,Happy Lemon,99 Drumm St,4.8,38,San Francisco,Bubble Tea,Inexpensive
26,Tpumps,1916 Irving St,4.4,522,San Francisco,Bubble Tea,Inexpensive
27,Boba Gen,260 5th St,4.2,99,San Francisco,Bubble Tea,Moderate
28,LITTLE SWEET,1253 9th Ave,4.5,171,San Francisco,Bubble Tea,Inexpensive
29,E Tea,839 Kearny St,4.3,78,San Francisco,Bubble Tea,Inexpensive
30,i-Tea Kearny,253 Kearny St,4.2,330,San Francisco,Bubble Tea,Inexpensive
31,Tea Hut,2815 California St,4.3,231,San Francisco,Bubble Tea,Inexpensive
32,Tea & Others,250 Divisadero St,4.6,97,San Francisco,Bubble Tea,Moderate
33,Bambū Desserts & Drinks,6050 Geary Blvd,4.3,236,San Francisco,Cafe,Inexpensive
34,SimplexiTea,12 10th St,4.5,71,San Francisco,Bubble Tea,Inexpensive
35,LITTLE SWEET,75 O'Farrell St,4.1,53,San Francisco,Bubble Tea,Inexpensive
36,iTea,2150 Irving St,4.3,241,San Francisco,Bubble Tea,Inexpensive
37,Sharetea,865 Market St,3.8,47,San Francisco,Bubble Tea,Inexpensive
38,Happy Lemon,1320 4th St,4.8,71,San Francisco,Bubble Tea,Inexpensive
39,Panda Boba,2763 San Bruno Ave,4.5,60,San Francisco,Tea house,Inexpensive
40,Lilikoi,3108 Fillmore St,4.4,54,San Francisco,Bubble Tea,Inexpensive
41,E Tea,5344 Geary Blvd,4.2,77,San Francisco,Bubble Tea,Inexpensive
42,Quickly,2800 Leavenworth St Ste A11,3.7,59,San Francisco,Bubble Tea,Inexpensive
43,Pink Pink Tea Shoppe,865 Market St #FE10,4.2,58,San Francisco,Bubble Tea,Inexpensive
44,Bubble Queen,219 King St,4.2,20,San Francisco,Bubble Tea,
45,TJ Cups,2437 Noriega St,4.6,153,San Francisco,Bubble Tea,Inexpensive
46,1011 Sip TEA SF,2127 Irving St,4.5,39,San Francisco,Cafe,Inexpensive
47,Honey B,2201 Clement St,4.2,127,San Francisco,Bubble Tea,Inexpensive
48,Honeybear Boba,801 22nd St,4.6,98,San Francisco,Bubble Tea,
49,My Cup of Tea,2666 Ocean Ave,4.3,195,San Francisco,Bubble Tea,Inexpensive
50,Tea Square,900 North Point St,2.3,9,San Francisco,Bubble Tea,
51,Mr. Green Bubble - Ocean SF,1330 Ocean Ave,3.9,29,San Francisco,Bubble Tea,Inexpensive
